Assay_Plate_Barcode,Plate_Map_Name
BR00136505,control
BR00136506,JUMP-Target-2_compound_platemap
BR00136507,control
BR00136508,JUMP-Target-2_compound_platemap
BR00136509,S-B_REPO1_2020_004_1
BR00136510,S-B_REPO1_2020_004_1
BR00136511,S-B_REPO1_2020_004_1
BR00136512,S-B_REPO1_2020_004_1
BR00136513,S-B_REPO1_2020_004_1
BR00136514,S-B_REPO1_2020_005_1
BR00136515,S-B_REPO1_2020_005_1
BR00136516,S-B_REPO1_2020_005_1
BR00136517,S-B_REPO1_2020_005_1
BR00136518,S-B_REPO1_2020_005_1
BR00136519,S-B_REPO1_2020_006_1
BR00136520,S-B_REPO1_2020_006_1
BR00136521,S-B_REPO1_2020_006_1
BR00136522,S-B_REPO1_2020_006_1
BR00136523,S-B_REPO1_2020_006_1
BR00136524,S-B_REPO1_2020_007_1
BR00136525,S-B_REPO1_2020_007_1
BR00136526,S-B_REPO1_2020_007_1
BR00136527,S-B_REPO1_2020_007_1
BR00136528,S-B_REPO1_2020_007_1
