plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
S-B-REPO1_2020-005-1	A01				
S-B-REPO1_2020-005-1	A02				DMSO
S-B-REPO1_2020-005-1	A03	BRD-K93460210-001-27-9	2.56091000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	A04	BRD-K18552138-065-01-3	5.61647000000000046	9.99999999999999996	DMSO
S-B-REPO1_2020-005-1	A05	BRD-K28494619-001-31-9	2.53278	1E+1	DMSO
S-B-REPO1_2020-005-1	A06	BRD-K14496212-066-05-9	6.54594000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	A07	BRD-K37289225-001-37-2	3.18685230601836412	9.75100377274048743	DMSO
S-B-REPO1_2020-005-1	A08	BRD-K72166146-066-07-9	6.79783000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	A09	BRD-K63712959-001-02-9	6.80749299999999999	9.99999999999999999	DMSO
S-B-REPO1_2020-005-1	A10	BRD-K81272440-236-14-9	3.38250700000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	A11	BRD-K54790157-001-16-9	2.282433	1E+1	DMSO
S-B-REPO1_2020-005-1	A12	BRD-K82846253-001-20-9	4.52585700000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	A13	BRD-K08231299-001-09-9	2.092417	1E+1	DMSO
S-B-REPO1_2020-005-1	A14	BRD-K00004210-045-01-9	3.254446	1E+1	DMSO
S-B-REPO1_2020-005-1	A15	BRD-K00094013-003-35-9	5.79980000000003410	10.0000000000000588	DMSO
S-B-REPO1_2020-005-1	A16	BRD-K00494077-066-03-9	5.12459	1E+1	DMSO
S-B-REPO1_2020-005-1	A17	BRD-K57718010-001-12-7	1.38171196550876055	10.0000576498928898	DMSO
S-B-REPO1_2020-005-1	A18	BRD-K38003476-001-10-9	4.95023000000000023	9.99999999999999997	DMSO
S-B-REPO1_2020-005-1	A19	BRD-K00003322-363-01-9	21.94133	1E+1	DMSO
S-B-REPO1_2020-005-1	A20	BRD-K10759270-003-01-1	6.99852999999999953	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	A21	BRD-K36207157-001-10-9	3.15859999999999999	9.99999999999999997	DMSO
S-B-REPO1_2020-005-1	A22	BRD-A55464252-001-02-0	2.54366700000000009	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	A23				
S-B-REPO1_2020-005-1	A24				DMSO
S-B-REPO1_2020-005-1	B01				
S-B-REPO1_2020-005-1	B02				DMSO
S-B-REPO1_2020-005-1	B03	BRD-K67601717-037-04-9	4.69551999999999999	9.99999999999999998	DMSO
S-B-REPO1_2020-005-1	B04	BRD-K22149900-001-06-2	5.5813499999999999	9.99999999999999998	DMSO
S-B-REPO1_2020-005-1	B05	BRD-K36407194-001-02-9	3.573821	1E+1	DMSO
S-B-REPO1_2020-005-1	B06	BRD-K02475039-001-02-9	2.372518	1E+1	DMSO
S-B-REPO1_2020-005-1	B07	BRD-K18207669-001-03-9	3.724547	1E+1	DMSO
S-B-REPO1_2020-005-1	B08	BRD-K06502269-001-02-6	1.49211000000000013	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	B09	BRD-A64610707-001-07-9	2.552686	1E+1	DMSO
S-B-REPO1_2020-005-1	B10	BRD-K01666412-001-02-0	1.15130499999999998	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	B11	BRD-K49669424-075-20-9	4.15364999999999999	9.99999999999999998	DMSO
S-B-REPO1_2020-005-1	B12	BRD-A61194565-003-28-8	2.93704000000000008	10	DMSO
S-B-REPO1_2020-005-1	B13	BRD-K52818472-001-03-9	3.924907	1E+1	DMSO
S-B-REPO1_2020-005-1	B14	BRD-K70330367-003-08-7	1.87710000000000008	10	DMSO
S-B-REPO1_2020-005-1	B15	BRD-K25943794-001-03-9	3.675028	1E+1	DMSO
S-B-REPO1_2020-005-1	B16	BRD-K30114692-001-16-7	1.40186299999999989	10	DMSO
S-B-REPO1_2020-005-1	B17	BRD-K76634210-001-15-9	3.54098500000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	B18	BRD-K99792991-001-36-9	4.06903999999999999	9.99999999999999998	DMSO
S-B-REPO1_2020-005-1	B19	BRD-A33697453-008-03-9	4.55398999999999999	9.99999999999999998	DMSO
S-B-REPO1_2020-005-1	B20	BRD-K41731458-001-15-1	2.89541999999991800	9.99999999999971773	DMSO
S-B-REPO1_2020-005-1	B21	BRD-K01827279-001-20-9	3.56411000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	B22	BRD-K18324993-001-01-6	2.93445800000000021	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	B23				
S-B-REPO1_2020-005-1	B24				DMSO
S-B-REPO1_2020-005-1	C01				
S-B-REPO1_2020-005-1	C02				DMSO
S-B-REPO1_2020-005-1	C03	BRD-K90333595-066-24-9	2.813523	1E+1	DMSO
S-B-REPO1_2020-005-1	C04	BRD-K23984367-001-07-5	4.64825000000007988	10.0000000000001721	DMSO
S-B-REPO1_2020-005-1	C05	BRD-K70507123-001-11-9	2.662533	1E+1	DMSO
S-B-REPO1_2020-005-1	C06	BRD-A62336573-001-06-4	5.2756619999999998	9.99999999999999999	DMSO
S-B-REPO1_2020-005-1	C07	BRD-K08327065-065-06-8	5.82576999999999998	10	DMSO
S-B-REPO1_2020-005-1	C08	BRD-K27771035-001-04-1	5.04963000000000023	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	C09	BRD-K40758068-001-10-9	3.15675	1E+1	DMSO
S-B-REPO1_2020-005-1	C10	BRD-K86872788-065-01-5	3.32459000000000004	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	C11	BRD-K85606544-001-13-9	5.57043000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	C12	BRD-K50406511-001-26-0	3.56481999999997406	9.99999999999992645	DMSO
S-B-REPO1_2020-005-1	C13	BRD-K20168442-004-08-9	6.38739	1E+1	DMSO
S-B-REPO1_2020-005-1	C14	BRD-K99622919-001-24-8	3.06442999999999984	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	C15	BRD-A46335897-003-27-8	3.20873581812556584	9.99979998169273836	DMSO
S-B-REPO1_2020-005-1	C16	BRD-K01824972-001-05-9	6.64433000000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	C17	BRD-K81855038-003-14-7	4.09458918917076831	10.6381150049383682	DMSO
S-B-REPO1_2020-005-1	C18	BRD-K17311468-050-01-7	4.41476999999999974	9.99999999999999997	DMSO
S-B-REPO1_2020-005-1	C19	BRD-K99919177-001-01-3	9.43079100000000036	9.99999999999999996	DMSO
S-B-REPO1_2020-005-1	C20	BRD-M41245765-341-06-9	2.85007999999999982	10.6747767723377473	DMSO
S-B-REPO1_2020-005-1	C21	BRD-K97197005-001-04-9	3.10429900000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	C22	BRD-K43966364-237-06-9	3.90496	1E+1	DMSO
S-B-REPO1_2020-005-1	C23				
S-B-REPO1_2020-005-1	C24				DMSO
S-B-REPO1_2020-005-1	D01				
S-B-REPO1_2020-005-1	D02				DMSO
S-B-REPO1_2020-005-1	D03	BRD-K01825581-238-05-9	4.734393	1E+1	DMSO
S-B-REPO1_2020-005-1	D04	BRD-K56276053-001-01-8	2.69166200000000004	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	D05	BRD-A90625545-001-03-9	4.68581800000000001	10.0000000000000000	DMSO
S-B-REPO1_2020-005-1	D06	BRD-A48938994-001-15-8	2.18289999999999992	10.0000000000000000	DMSO
