Assay_Plate_Barcode,Plate_Map_Name
BR00136687,control
BR00136688,JUMP-Target-2_compound_platemap
BR00136689,control
BR00136690,JUMP-Target-2_compound_platemap
BR00136691,S-B_REPO1_2020_007_1
BR00136692,S-B_REPO1_2020_007_1
BR00136693,S-B_REPO1_2020_007_1
BR00136694,S-B_REPO1_2020_007_1
BR00136695,S-B_REPO1_2020_007_1
BR00136696,S-B_REPO1_2020_005_1
BR00136697,S-B_REPO1_2020_005_1
BR00136698,S-B_REPO1_2020_005_1
BR00136699,S-B_REPO1_2020_005_1
BR00136700,S-B_REPO1_2020_005_1
BR00136701,S-B_REPO1_2020_006_1
BR00136702,S-B_REPO1_2020_006_1
BR00136703,S-B_REPO1_2020_006_1
BR00136704,S-B_REPO1_2020_006_1
BR00136705,S-B_REPO1_2020_006_1
BR00136706,S-B_REPO1_2020_004_1
BR00136707,S-B_REPO1_2020_004_1
BR00136708,S-B_REPO1_2020_004_1
BR00136709,S-B_REPO1_2020_004_1
BR00136710,S-B_REPO1_2020_004_1
